Job Title,Organisation,Monthly Payment,Contract Type,Category,Closing,Location,Full-Time Equivalent (FTE),Opening
Deputy Manager (RGN)  Nursing Home  Bristol,Liquid Personnel Ltd,2791.67,,Healthcare and Nursing,13/01/2013 15:00,Bristol,FULL TIME,14/11/2012 15:00
RGN or RMN  Wigan,Eden Brown,2240,,Healthcare and Nursing,24/01/2013 15:00,Wigan,FULL TIME,25/11/2012 15:00
Staff Nurse in Elderly (RGN)  Bromley,Aaron Millar Recruitment,2000,,Healthcare and Nursing,1/02/2012 12:00,Bromley,FULL TIME,2/01/2012 12:00
Practice Nurses Band 5  Northallerton,Hays Healthcare,2880,,Healthcare and Nursing,21/07/2012 0:00,Northallerton,FULL TIME,22/04/2012 0:00
RGN or RMN  Liverpool,Eden Brown,1996.75,,Healthcare and Nursing,6/04/2013 0:00,Liverpool,FULL TIME,7/03/2013 0:00
**** Clinical Nurse Advisors  York  York,Hays Healthcare,1916.67,,Healthcare and Nursing,26/06/2013 0:00,York,FULL TIME,28/03/2013 0:00
Scrub Nurse  Maidstone,Compass Associates Ltd,2500,,Healthcare and Nursing,3/05/2013 15:00,Maidstone,FULL TIME,2/02/2013 15:00
Clinical Nurse Advisor  Bedford  Bedford,Hays Healthcare,1916.67,,Healthcare and Nursing,1/05/2012 0:00,Bedford,FULL TIME,1/04/2012 0:00
Full Or Part Time Outreach Support  Taunton,BS Social Care,1099.58,,Healthcare and Nursing,7/05/2013 0:00,Taunton,FULL TIME,7/04/2013 0:00
Registered General Nurse  Hertford,TXM Healthcare,2125,,Healthcare and Nursing,15/10/2012 15:00,Hertford,FULL TIME,16/08/2012 15:00
Deputy Home Manager (RGN)  Buckingham,Caritas Recruitment,2708.33,,Healthcare and Nursing,29/05/2012 15:00,Buckingham,FULL TIME,30/03/2012 15:00
Deputy Home Manager  RGN  Cambridge,Caritas Recruitment,2708.33,,Healthcare and Nursing,16/10/2012 12:00,Cambridge,FULL TIME,18/07/2012 12:00
Nurse  RMN / RGN  Wiltshire  Salisbury,Populus Healthcare,2291.67,,Healthcare and Nursing,8/11/2012 15:00,Salisbury,FULL TIME,9/10/2012 15:00
Registered General Nurse London  London,MedicsPro,4000,,Healthcare and Nursing,25/10/2013 0:00,London,FULL TIME,25/09/2013 0:00
RMN's & RNLD's  Croydon,Glen Care Group,2066.67,,Healthcare and Nursing,9/07/2012 15:00,Croydon,FULL TIME,9/06/2012 15:00
Night Support Worker  Worthing,BS Social Care,620,,Healthcare and Nursing,3/12/2013 15:00,Worthing,0.8 FTE,3/11/2013 15:00
Substance Misuse Nurse  StokeonTrent,Morgan Hunt,1958.33,,Healthcare and Nursing,4/06/2012 15:00,Stoke-On-Trent,FULL TIME,6/03/2012 15:00
Care Home Manager  Nurse  Stockport,Four Seasons Health Care,1666.67,,Healthcare and Nursing,28/11/2012 15:00,Stockport,FULL TIME,30/08/2012 15:00
Unit Lead  Salford,White Recruitment Limited,2083.33,,Healthcare and Nursing,22/11/2012 12:00,Salford,FULL TIME,24/08/2012 12:00
Heath care Assistant  Immediate Start  Liverpool,D.R.C. Locums Limited,1200,,Healthcare and Nursing,27/11/2012 0:00,Liverpool,FULL TIME,28/09/2012 0:00
Nutritional Nurse Advisor  Bedford,Equal Approach,2104.17,,Healthcare and Nursing,19/05/2012 12:00,Bedford,FULL TIME,19/04/2012 12:00
RGN  Glasgow,BS Social Care,2008.33,,Healthcare and Nursing,28/06/2012 12:00,Glasgow,FULL TIME,30/03/2012 12:00
Deputy Manager  Redhill,BS Social Care,1958.33,,Healthcare and Nursing,15/09/2013 12:00,Redhill,FULL TIME,17/07/2013 12:00
Staff Nurse x**** RGN/RMN Cambridgeshire ******** p/h  Cambridge,SYK Recruitment,2000,,Healthcare and Nursing,26/01/2013 15:00,Cambridge,FULL TIME,27/11/2012 15:00
Staff Nurse x**** RGN Surrey **** per hour  Guildford,SYK Recruitment,1920,,Healthcare and Nursing,4/05/2013 0:00,Guildford,FULL TIME,5/03/2013 0:00
Staff Nurse RGN Buckinghamshire **** per hour  Buckingham,SYK Recruitment,1000,,Healthcare and Nursing,5/12/2013 0:00,Buckingham,FULL TIME,6/10/2013 0:00
Endoscopy Nurse RGN London ****k per annum  London,SYK Recruitment,2753.33,,Healthcare and Nursing,23/06/2012 0:00,London,FULL TIME,24/04/2012 0:00
Staff Nurse RGN Ware ******** per hour Nights  Hertford,SYK Recruitment,2000,,Healthcare and Nursing,13/03/2012 0:00,Hertford,FULL TIME,12/02/2012 0:00
Peripatetic Home Manager South East ****k  ****k Elderly  Guildford,SYK Recruitment,4791.67,,Healthcare and Nursing,22/12/2013 12:00,Guildford,FULL TIME,23/09/2013 12:00
Staff Nurse RGN Abingdon ******** per hour  Abingdon,SYK Recruitment,2080,,Healthcare and Nursing,24/01/2013 12:00,Abingdon,FULL TIME,25/12/2012 12:00
Discharge Nurse  Northampton,Team 24 Ltd,2942.33,,Healthcare and Nursing,1/06/2012 0:00,Northampton,FULL TIME,2/05/2012 0:00
Registered General Nurse  Chesterfield,White Recruitment Limited,1000,,Healthcare and Nursing,29/12/2013 12:00,Chesterfield,FULL TIME,30/09/2013 12:00
Hippotherapist  Lewes,BS Social Care,1430,,Healthcare and Nursing,22/08/2013 15:00,Lewes,0.4 FTE,23/07/2013 15:00
