account_age,intl_plan,voice_mail_plan,n_voice_mails,n_day_calls,sum_day_charges,n_evening_calls,sum_evening_charges,n_night_calls,sum_night_charges,n_intl_calls,sum_intl_charges,n_customer_service_calls,churn
128,0,1,25.0,110.0,45.07,99.0,16.78,91.0,11.01,3.0,2.7,1.0,0
107,0,1,26.0,123.0,27.47,103.0,16.62,103.0,11.45,3.0,3.7,1.0,0
137,0,0,0.0,114.0,41.38,110.0,10.3,104.0,7.32,5.0,3.29,0.0,0
84,1,0,0.0,71.0,50.9,88.0,5.26,89.0,8.86,7.0,1.78,2.0,0
75,1,0,0.0,113.0,28.34,122.0,12.61,121.0,8.41,3.0,2.73,3.0,0
118,1,0,0.0,98.0,37.98,101.0,18.75,118.0,9.18,6.0,1.7,0.0,0
147,1,0,0.0,79.0,26.69,94.0,8.76,96.0,9.53,6.0,1.92,0.0,0
117,0,0,0.0,97.0,31.37,80.0,29.89,90.0,9.71,4.0,2.35,1.0,0
141,1,1,37.0,84.0,43.96,111.0,18.87,97.0,14.69,5.0,3.02,0.0,0
74,0,0,0.0,127.0,31.91,148.0,13.89,94.0,8.82,5.0,2.46,0.0,0
168,0,0,0.0,96.0,21.9,71.0,8.92,128.0,6.35,2.0,3.02,1.0,0
95,0,0,0.0,88.0,26.62,75.0,21.05,115.0,8.65,5.0,3.32,3.0,0
161,0,0,0.0,67.0,56.59,97.0,27.01,128.0,7.23,9.0,1.46,4.0,1
85,0,1,27.0,139.0,33.39,90.0,23.88,75.0,4.02,4.0,3.73,1.0,0
76,0,1,33.0,66.0,32.25,65.0,18.09,108.0,7.46,5.0,2.7,1.0,0
73,0,0,0.0,90.0,38.15,88.0,13.56,74.0,8.68,2.0,3.51,1.0,0
147,0,0,0.0,117.0,26.37,93.0,20.37,133.0,9.4,4.0,2.86,0.0,0
77,0,0,0.0,89.0,10.61,121.0,14.44,64.0,9.43,6.0,1.54,5.0,1
130,0,0,0.0,112.0,31.11,99.0,6.2,78.0,8.18,19.0,2.57,0.0,0
132,0,0,0.0,86.0,13.79,72.0,20.84,115.0,10.67,2.0,2.78,0.0,0
174,0,0,0.0,76.0,21.13,112.0,23.55,115.0,11.28,5.0,4.19,3.0,0
57,0,1,39.0,115.0,36.21,112.0,16.24,115.0,8.22,3.0,2.57,0.0,0
54,0,0,0.0,73.0,22.83,100.0,13.22,68.0,4.59,4.0,3.97,3.0,0
20,0,0,0.0,109.0,32.3,84.0,21.95,102.0,8.17,6.0,1.7,0.0,0
142,0,0,0.0,95.0,14.42,63.0,11.62,148.0,11.27,6.0,3.83,2.0,0
75,0,0,0.0,105.0,38.44,107.0,17.13,98.0,11.08,5.0,2.78,1.0,0
172,0,0,0.0,121.0,36.04,115.0,2.65,78.0,13.2,10.0,3.4,3.0,0
12,0,0,0.0,118.0,42.43,119.0,21.45,90.0,12.61,3.0,3.19,1.0,1
72,0,1,37.0,80.0,37.4,102.0,18.47,71.0,6.88,6.0,3.97,3.0,0
36,0,1,30.0,128.0,24.87,80.0,13.81,109.0,5.82,6.0,3.92,0.0,0
78,0,0,0.0,64.0,22.24,116.0,19.01,108.0,10.25,5.0,2.7,1.0,0
136,1,1,33.0,106.0,34.66,99.0,15.95,107.0,4.58,6.0,2.84,3.0,0
149,0,0,0.0,94.0,23.87,92.0,23.1,108.0,8.47,9.0,3.0,1.0,0
98,0,0,0.0,102.0,21.47,85.0,14.18,135.0,8.45,2.0,2.54,3.0,0
34,0,0,0.0,82.0,21.22,98.0,23.99,78.0,14.02,4.0,2.7,2.0,0
160,0,0,0.0,77.0,14.59,110.0,14.05,92.0,8.03,4.0,2.48,3.0,0
64,0,0,0.0,67.0,26.18,118.0,19.19,86.0,11.94,3.0,0.95,1.0,0
65,0,0,0.0,120.0,35.92,122.0,13.82,118.0,6.06,5.0,3.56,3.0,0
142,0,0,0.0,133.0,31.79,74.0,11.44,127.0,10.9,5.0,2.0,2.0,0
119,0,0,0.0,114.0,27.05,117.0,19.66,91.0,6.44,3.0,2.38,5.0,1
97,0,1,24.0,135.0,22.64,58.0,18.46,79.0,3.18,3.0,2.97,1.0,0
52,0,0,0.0,108.0,32.62,96.0,22.93,87.0,10.66,5.0,2.11,3.0,0
60,0,0,0.0,57.0,37.5,115.0,17.94,129.0,11.21,3.0,1.84,1.0,0
10,0,0,0.0,112.0,31.64,66.0,16.17,57.0,12.73,6.0,3.08,2.0,0
96,0,0,0.0,117.0,27.23,67.0,22.74,68.0,10.28,5.0,2.51,2.0,0
81,0,0,0.0,67.0,29.84,85.0,21.19,98.0,12.16,3.0,2.75,1.0,0
141,0,0,0.0,98.0,21.57,62.0,15.3,128.0,6.34,2.0,2.16,1.0,0
121,0,1,30.0,129.0,33.73,77.0,6.4,77.0,8.15,3.0,1.57,3.0,1
125,0,0,0.0,103.0,38.98,126.0,15.08,95.0,8.52,8.0,3.24,1.0,0
174,0,0,0.0,97.0,32.66,94.0,14.44,54.0,7.5,4.0,3.08,1.0,0
116,0,1,34.0,83.0,45.66,142.0,15.15,106.0,7.48,3.0,3.13,2.0,0
74,0,1,33.0,91.0,32.93,96.0,20.92,92.0,6.21,3.0,3.94,2.0,0
149,0,1,28.0,92.0,30.72,64.0,15.96,53.0,11.95,3.0,3.4,3.0,0
38,0,0,0.0,98.0,22.3,97.0,13.85,106.0,7.15,6.0,2.21,2.0,0
40,0,1,41.0,74.0,25.18,88.0,14.41,102.0,9.63,5.0,1.67,2.0,0
43,1,0,0.0,105.0,42.76,104.0,18.09,67.0,7.1,4.0,2.51,0.0,0
113,1,0,0.0,93.0,21.28,119.0,17.54,139.0,5.82,8.0,2.24,0.0,0
126,0,0,0.0,70.0,35.97,80.0,18.44,60.0,6.91,1.0,2.11,1.0,0
150,0,0,0.0,101.0,30.41,110.0,14.37,100.0,6.69,3.0,3.73,4.0,1
138,0,0,0.0,93.0,41.11,83.0,14.49,104.0,13.29,7.0,3.19,3.0,0
162,0,1,46.0,97.0,38.23,84.0,16.0,61.0,11.46,2.0,3.27,0.0,0
90,0,0,0.0,146.0,34.58,117.0,19.27,105.0,6.86,4.0,1.97,1.0,0
85,0,0,0.0,109.0,40.09,94.0,13.36,99.0,8.47,3.0,3.24,0.0,0
